#             x             U_x             U_y             U_z               k             nut           omega
    0.052705039       5.4123545     0.010530418   6.6171224e-22     0.034235639   0.00018303672       187.04244
    0.053314682       5.4124603     0.010538908   3.0981322e-22      0.03417086   0.00018300895       186.71686
    0.053930682        5.412567     0.010546968   7.2656573e-23     0.034105645   0.00018298094       186.38903
    0.054553106       5.4126747     0.010554588   7.6671048e-23     0.034039993   0.00018295269       186.05896
    0.055182022       5.4127834     0.010561761  -2.1838185e-22     0.033973904   0.00018292421       185.72665
    0.055817496       5.4128931     0.010568478  -3.1529865e-23     0.033907377   0.00018289548       185.39207
    0.056459598       5.4130037     0.010574731   2.5413066e-22     0.033840411   0.00018286651       185.05523
    0.057108397       5.4131153     0.010580511   1.6523511e-22     0.033773005    0.0001828373       184.71613
    0.057763961       5.4132279     0.010585812   1.0610882e-22     0.033705159   0.00018280785       184.37476
    0.058426363       5.4133415     0.010590624  -4.2989854e-23     0.033636872   0.00018277815       184.03112
    0.059095673       5.4134561      0.01059494  -2.4214857e-22     0.033568144    0.0001827482        183.6852
    0.059771963       5.4135716     0.010598752  -3.0980018e-22     0.033498974     0.000182718       183.33699
    0.060455306       5.4136882     0.010602053  -3.7738653e-22     0.033429361   0.00018268755        182.9865
    0.061145775       5.4138057     0.010604833  -3.9283084e-22     0.033359305   0.00018265685       182.63372
    0.061843446       5.4139242     0.010607086   7.1536983e-23     0.033288806   0.00018262589       182.27865
    0.062548392       5.4140437     0.010608805   4.6683359e-22     0.033217864   0.00018259468       181.92128
    0.063260691       5.4141642     0.010609981     2.84389e-22     0.033146477   0.00018256321       181.56162
    0.063980417       5.4142856     0.010610608   2.2009156e-23     0.033074646   0.00018253148       181.19965
     0.06470765       5.4144081     0.010610678  -2.4054135e-22      0.03300237   0.00018249949       180.83538
    0.065442467       5.4145315     0.010610185  -2.9680142e-22      0.03292965   0.00018246724        180.4688
    0.066184948       5.4146559     0.010609122  -5.1686061e-23     0.032856484   0.00018243473       180.09991
    0.066935172       5.4147813     0.010607483   1.5704112e-22     0.032782874   0.00018240195       179.72872
     0.06769322       5.4149077     0.010605259   3.0362799e-22     0.032708819    0.0001823689       179.35521
    0.068459173       5.4150351     0.010602446   6.5567182e-23     0.032634318   0.00018233559       178.97939
    0.069233115       5.4151634     0.010599038  -3.1232908e-22     0.032559373   0.00018230201       178.60125
    0.070015128       5.4152927     0.010595028  -2.5588713e-22     0.032483983   0.00018226815        178.2208
    0.070805297        5.415423     0.010590412  -2.1469276e-22     0.032408148   0.00018223403       177.83803
    0.071603706       5.4155543     0.010585183  -7.9799437e-23     0.032331868   0.00018219963       177.45295
    0.072410442       5.4156865     0.010579338   2.8767374e-22     0.032255144   0.00018216495       177.06555
