#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   0.0072350138      0.15485936     0.099748922               0    -0.061628168     -0.15493524               0               0               0               0       5.4047986    0.0081050198               0   2.3287403e-06     0.014203358      0.97008445
   0.0073704501      0.15522104     0.099697168               0     -0.06189598     -0.15516769               0               0               0               0       5.4048196    0.0081185241               0   2.3281327e-06     0.014179091      0.96690482
   0.0075072989      0.15550143      0.09963288               0    -0.062165698     -0.15540115               0               0               0               0       5.4048409    0.0081321614               0     2.32752e-06     0.014154651      0.96370767
   0.0076455748      0.15566818     0.099555552               0    -0.062438335      -0.1556356               0               0               0               0       5.4048624    0.0081459311               0    2.326902e-06     0.014130038      0.96049305
   0.0077852928      0.15587169     0.099464748               0    -0.062714575     -0.15587106               0               0               0               0       5.4048842    0.0081598328               0   2.3262788e-06     0.014105252        0.957261
    0.007926468      0.15611273     0.099360169               0    -0.062992872     -0.15610751               0               0               0               0       5.4049062    0.0081738656               0   2.3256503e-06     0.014080293      0.95401157
   0.0080691154      0.15634968     0.099241752               0    -0.063275383     -0.15634497               0               0               0               0       5.4049285    0.0081880288               0   2.3250165e-06     0.014055159      0.95074481
   0.0082132505      0.15655242     0.099109461               0    -0.063561347     -0.15658344               0               0               0               0        5.404951    0.0082023217               0   2.3243773e-06     0.014029851      0.94746076
   0.0083588888      0.15674617     0.098963351               0    -0.063850233     -0.15682291               0               0               0               0       5.4049738    0.0082167434               0   2.3237327e-06     0.014004367       0.9441595
    0.008506046      0.15704534     0.098803645               0    -0.064142999     -0.15706338               0               0               0               0       5.4049969     0.008231293               0   2.3230827e-06     0.013978708      0.94084107
   0.0086547378      0.15734862     0.098630508               0    -0.064437775     -0.15730486               0               0               0               0       5.4050203    0.0082459696               0   2.3224273e-06     0.013952873      0.93750555
   0.0088049804      0.15754625     0.098444263               0    -0.064734648     -0.15754734               0               0               0               0       5.4050439    0.0082607722               0   2.3217663e-06     0.013926861      0.93415298
   0.0089567898      0.15776646     0.098245457               0    -0.065035981     -0.15779082               0               0               0               0       5.4050679       0.0082757               0   2.3210998e-06     0.013900673      0.93078345
   0.0091101825        0.158047     0.098034335               0    -0.065342527     -0.15803531               0               0               0               0       5.4050921     0.008290752               0   2.3204277e-06     0.013874308      0.92739702
