#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
   0.0097399181      0.14591474     0.083467937               0    -0.061239618     -0.14589801               0               0               0               0       5.4048321    0.0080092291               0     0.046530276    0.0019946408       23.327646
    0.009901478      0.14607903     0.083423645               0     -0.06154228      -0.1461197               0               0               0               0       5.4048557    0.0080227088               0     0.046527361    0.0019946223       23.326403
    0.010064723      0.14629938     0.083372751               0    -0.061850585     -0.14634282               0               0               0               0       5.4048795    0.0080363213               0     0.046524417    0.0019946035       23.325146
     0.01022967      0.14658718     0.083315359               0    -0.062160512     -0.14656736               0               0               0               0       5.4049037    0.0080500668               0     0.046521442    0.0019945845       23.323876
    0.010396337      0.14685407     0.083251332               0    -0.062473286     -0.14679332               0               0               0               0       5.4049281    0.0080639456               0     0.046518437    0.0019945654       23.322593
    0.010564743      0.14704133     0.083180429               0    -0.062791316     -0.14702066               0               0               0               0       5.4049529    0.0080779578               0       0.0465154    0.0019945461       23.321298
    0.010734905      0.14717137     0.083102696               0    -0.063113599     -0.14724938               0               0               0               0       5.4049779    0.0080921034               0     0.046512333    0.0019945265       23.319988
    0.010906842      0.14741157     0.083018177               0    -0.063439482     -0.14747944               0               0               0               0       5.4050032    0.0081063827               0     0.046509234    0.0019945067       23.318665
    0.011080571        0.147776     0.082926802               0    -0.063769458     -0.14771082               0               0               0               0       5.4050289    0.0081207956               0     0.046506103    0.0019944867       23.317329
    0.011256113      0.14803764     0.082828521               0    -0.064102303     -0.14794352               0               0               0               0       5.4050548    0.0081353422               0      0.04650294    0.0019944666       23.315979
    0.011433485      0.14820584      0.08272326               0    -0.064438366     -0.14817751               0               0               0               0       5.4050811    0.0081500224               0     0.046499744    0.0019944462       23.314615
    0.011612707      0.14843432      0.08261101               0    -0.064777062     -0.14841277               0               0               0               0       5.4051077    0.0081648362               0     0.046496516    0.0019944256       23.313236
    0.011793798      0.14867773     0.082491781               0    -0.065119564     -0.14864927               0               0               0               0       5.4051346    0.0081797836               0     0.046493254    0.0019944048       23.311844
    0.011976778       0.1488799     0.082365492               0     -0.06546762     -0.14888697               0               0               0               0       5.4051618    0.0081948644               0     0.046489958    0.0019943838       23.310438
    0.012161666      0.14906151       0.0822321               0    -0.065818965     -0.14912588               0               0               0               0       5.4051894    0.0082100785               0     0.046486629    0.0019943626       23.309016
    0.012348482      0.14930903     0.082091618               0    -0.066173615     -0.14936596               0               0               0               0       5.4052172    0.0082254257               0     0.046483265    0.0019943411       23.307581
    0.012537247      0.14963542     0.081943991               0    -0.066533325     -0.14960715               0               0               0               0       5.4052454    0.0082409058               0     0.046479867    0.0019943194        23.30613
     0.01272798      0.14988853     0.081789218               0    -0.066897273     -0.14984946               0               0               0               0        5.405274    0.0082565184               0     0.046476434    0.0019942975       23.304665
    0.012920702      0.15008617     0.081627325               0    -0.067264514     -0.15009286               0               0               0               0       5.4053029    0.0082722634               0     0.046472966    0.0019942754       23.303184
    0.013115435      0.15031533     0.081458258               0    -0.067635868     -0.15033729               0               0               0               0       5.4053321    0.0082881404               0     0.046469462    0.0019942531       23.301688
    0.013312198      0.15052433      0.08128195               0    -0.068010354     -0.15058274               0               0               0               0       5.4053617     0.008304149               0     0.046465922    0.0019942305       23.300177
    0.013511013      0.15081738     0.081098344               0    -0.068391056     -0.15082917               0               0               0               0       5.4053917    0.0083202888               0     0.046462346    0.0019942077        23.29865
    0.013711901       0.1511526     0.080907562               0    -0.068777427     -0.15107655               0               0               0               0        5.405422    0.0083365593               0     0.046458733    0.0019941846       23.297108
    0.013914885      0.15136071     0.080709678               0    -0.069165262     -0.15132484               0               0               0               0       5.4054527      0.00835296               0     0.046455083    0.0019941613        23.29555
    0.014119985      0.15157688     0.080504483               0    -0.069557248       -0.151574               0               0               0               0       5.4054838    0.0083694905               0     0.046451395    0.0019941378       23.293975
    0.014327225      0.15182509     0.080291958               0    -0.069952607       -0.151824               0               0               0               0       5.4055152    0.0083861501               0     0.046447669     0.001994114       23.292385
    0.014536626      0.15202187     0.080072198               0    -0.070351341      -0.1520748               0               0               0               0        5.405547    0.0084029382               0     0.046443906      0.00199409       23.290778
     0.01474821      0.15224769     0.079845179               0    -0.070756133     -0.15232635               0               0               0               0       5.4055792    0.0084198541               0     0.046440104    0.0019940657       23.289155
    0.014962002       0.1525314     0.079610878               0    -0.071167059     -0.15257862               0               0               0               0       5.4056118    0.0084368971               0     0.046436262    0.0019940412       23.287515
    0.015178023      0.15283906     0.079369282               0    -0.071582785     -0.15283157               0               0               0               0       5.4056448    0.0084540665               0     0.046432382    0.0019940164       23.285858
    0.015396296      0.15314168     0.079120412               0    -0.072001815     -0.15308516               0               0               0               0       5.4056782    0.0084713614               0     0.046428461    0.0019939914       23.284184
    0.015616846      0.15337757      0.07886425               0    -0.072424559     -0.15333933               0               0               0               0        5.405712     0.008488781               0       0.0464245    0.0019939661       23.282493
    0.015839697      0.15357421     0.078600825               0    -0.072852639     -0.15359402               0               0               0               0       5.4057462    0.0085063244               0     0.046420499    0.0019939405       23.280785
    0.016064871      0.15384897     0.078330174               0    -0.073286155     -0.15384922               0               0               0               0       5.4057808    0.0085239907               0     0.046416456    0.0019939147       23.279059
    0.016292394      0.15412025     0.078052234               0    -0.073721726     -0.15410486               0               0               0               0       5.4058158    0.0085417788               0     0.046412372    0.0019938886       23.277315
    0.016522289       0.1543442      0.07776697               0    -0.074160838     -0.15436089               0               0               0               0       5.4058512    0.0085596876               0     0.046408247    0.0019938623       23.275553
    0.016754582      0.15461867      0.07747444               0    -0.074607668     -0.15461725               0               0               0               0       5.4058871    0.0085777162               0     0.046404079    0.0019938356       23.273774
    0.016989298      0.15489592     0.077174708               0    -0.075058844     -0.15487391               0               0               0               0       5.4059234    0.0085958633               0     0.046399868    0.0019938088       23.271976
    0.017226461      0.15514296      0.07686768               0    -0.075514531      -0.1551308               0               0               0               0       5.4059602    0.0086141277               0     0.046395614    0.0019937816       23.270159
    0.017466098      0.15538631     0.076553297               0    -0.075974468     -0.15538786               0               0               0               0       5.4059974    0.0086325081               0     0.046391317    0.0019937541       23.268324
    0.017708234       0.1556413     0.076231696               0     -0.07643829     -0.15564503               0               0               0               0       5.4060351    0.0086510032               0     0.046386975    0.0019937264        23.26647
    0.017952896      0.15590028     0.075902957               0     -0.07690805     -0.15590227               0               0               0               0       5.4060732    0.0086696117               0      0.04638259    0.0019936983       23.264598
    0.018200108      0.15616211     0.075566976               0    -0.077382117     -0.15615951               0               0               0               0       5.4061117    0.0086883321               0     0.046378159      0.00199367       23.262706
    0.018449899       0.1564272     0.075223673               0    -0.077860063     -0.15641668               0               0               0               0       5.4061508     0.008707163               0     0.046373683    0.0019936414       23.260795
    0.018702296        0.156663     0.074873166               0    -0.078343424     -0.15667373               0               0               0               0       5.4061903    0.0087261026               0     0.046369161    0.0019936125       23.258864
    0.018957324      0.15691775     0.074515576               0    -0.078834179     -0.15693059               0               0               0               0       5.4062303    0.0087451496               0     0.046364593    0.0019935833       23.256913
    0.019215012      0.15718988     0.074150818               0    -0.079329862     -0.15718719               0               0               0               0       5.4062707    0.0087643021               0     0.046359978    0.0019935538       23.254942
    0.019475387       0.1574467     0.073778846               0     -0.07982788     -0.15744348               0               0               0               0       5.4063117    0.0087835584               0     0.046355316     0.001993524       23.252951
