#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
    0.011080571               0            0.05      -4.7635827  -0.00018769631               0       10387.275      0.84167558               0               0               0               0               0               0               0               0   2.3394984e-07     0.067856512
    0.011256113               0            0.05      -4.6522143  -0.00018046667               0       10306.034      0.82209747               0               0               0               0               0               0               0               0   2.2684998e-07     0.065797217
    0.011433485               0            0.05      -4.5440396  -0.00017356674               0        10225.86      0.80307496               0               0               0               0               0               0               0               0   2.1998416e-07     0.063805806
    0.011612707               0            0.05      -4.4389072  -0.00016698864               0       10146.729      0.78458933               0               0               0               0               0               0               0               0    2.133437e-07     0.061879758
    0.011793798               0            0.05      -4.3366968  -0.00016071097               0       10068.617      0.76661567               0               0               0               0               0               0               0               0    2.069203e-07     0.060016668
    0.011976778               0            0.05      -4.2373739   -0.0001546661               0       9991.5028       0.7491381               0               0               0               0               0               0               0               0   2.0070601e-07     0.058214229
    0.012161666               0            0.05      -4.1407966  -0.00014886689               0       9915.3645      0.73214528               0               0               0               0               0               0               0               0   1.9469319e-07     0.056470228
    0.012348482               0            0.05      -4.0468822  -0.00014333837               0       9840.1811      0.71561723               0               0               0               0               0               0               0               0   1.8887453e-07      0.05478254
    0.012537247               0            0.05      -3.9555462  -0.00013802196               0       9765.9323      0.69953568               0               0               0               0               0               0               0               0   1.8324296e-07     0.053149119
     0.01272798               0            0.05      -3.8666736  -0.00013290927               0       9692.5984      0.68389236               0               0               0               0               0               0               0               0   1.7779172e-07     0.051568003
    0.012920702               0            0.05      -3.7802234  -0.00012801667               0       9620.1604      0.66867009               0               0               0               0               0               0               0               0   1.7251433e-07     0.050037309
    0.013115435               0            0.05       -3.696104  -0.00012332156               0       9548.5993      0.65385552               0               0               0               0               0               0               0               0   1.6740455e-07     0.048555234
    0.013312198               0            0.05      -3.6142284  -0.00011883073               0       9477.8972      0.63943554               0               0               0               0               0               0               0               0   1.6245645e-07     0.047120051
    0.013511013               0            0.05       -3.534525   -0.0001145318               0       9408.0365      0.62539416               0               0               0               0               0               0               0               0   1.5766433e-07     0.045730109
    0.013711901               0            0.05      -3.4569187  -0.00011041931               0       9339.0003      0.61171995               0               0               0               0               0               0               0               0   1.5302275e-07      0.04438383
    0.013914885               0            0.05      -3.3813297  -0.00010649208               0       9270.7725      0.59839722               0               0               0               0               0               0               0               0   1.4852648e-07       0.0430797
    0.014119985               0            0.05      -3.3076919  -0.00010270748               0       9203.3374      0.58541357               0               0               0               0               0               0               0               0   1.4417051e-07     0.041816264
    0.014327225               0            0.05      -3.2359531  -9.9024552e-05               0       9136.6796      0.57276292               0               0               0               0               0               0               0               0   1.3995003e-07     0.040592126
    0.014536626               0            0.05      -3.1660674  -9.5480501e-05               0       9070.7846       0.5604424               0               0               0               0               0               0               0               0   1.3586039e-07     0.039405937
     0.01474821               0            0.05      -3.0979874  -9.2075522e-05               0       9005.6369      0.54843614               0               0               0               0               0               0               0               0   1.3189711e-07     0.038256398
    0.014962002               0            0.05      -3.0316502  -8.8819259e-05               0       8941.2222      0.53674014               0               0               0               0               0               0               0               0   1.2805587e-07     0.037142256
    0.015178023               0            0.05      -2.9669948  -8.5701277e-05               0       8877.5263      0.52533539               0               0               0               0               0               0               0               0   1.2433252e-07      0.03606231
    0.015396296               0            0.05      -2.9039687  -8.2713512e-05               0       8814.5363      0.51421935               0               0               0               0               0               0               0               0   1.2072308e-07     0.035015402
    0.015616846               0            0.05      -2.8425163  -7.9840153e-05               0       8752.2385      0.50337463               0               0               0               0               0               0               0               0   1.1722372e-07     0.034000422
    0.015839697               0            0.05      -2.7825879  -7.7082251e-05               0       8690.6205       0.4928017               0               0               0               0               0               0               0               0   1.1383077e-07     0.033016305
    0.016064871               0            0.05      -2.7241372  -7.4434797e-05               0         8629.67      0.48248259               0               0               0               0               0               0               0               0    1.105407e-07     0.032062028
    0.016292394               0            0.05      -2.6671148  -7.1886344e-05               0       8569.3753      0.47241796               0               0               0               0               0               0               0               0   1.0735011e-07     0.031136607
    0.016522289               0            0.05      -2.6114814  -6.9421024e-05               0       8509.7246      0.46259269               0               0               0               0               0               0               0               0   1.0425575e-07     0.030239097
    0.016754582               0            0.05      -2.5572046  -6.7037439e-05               0       8450.7067      0.45301083               0               0               0               0               0               0               0               0   1.0125447e-07     0.029368583
    0.016989298               0            0.05      -2.5042492  -6.4734725e-05               0       8392.3105      0.44365763               0               0               0               0               0               0               0               0   9.8343232e-08     0.028524187
