#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
  0.00059584562      0.13957117      0.11396211  -1.3095165e-18    -0.049838301      -0.1397412   6.9815513e-21   1.9538401e-18   1.6359022e-18  -1.1673647e-34        5.403749    0.0074504694   5.6776034e-23     0.097546836      0.04094328   0.00015937696        20.39859
  0.00066204216      0.13970396      0.11383637   -7.822432e-19    -0.049964487     -0.13987417   1.3448869e-20   -1.499299e-18  -1.2371891e-18  -1.0160388e-34       5.4037582    0.0074580079  -4.5401713e-23     0.097543911     0.040935977   0.00015936223        20.39463
  0.00072892907      0.13983792      0.11370918  -2.8857137e-19      -0.0500921      -0.1400083   7.3540291e-21  -1.4649768e-18  -1.2025996e-18   5.9376687e-35       5.4037676    0.0074656165  -4.5190871e-23     0.097540956     0.040928601   0.00015934735       20.390631
  0.00079651354      0.13997306      0.11358053   -2.427752e-19    -0.050221157      -0.1401436   2.1051254e-21  -2.6982979e-18  -2.2347028e-18   1.1994848e-34        5.403777    0.0074732958  -8.5151666e-23     0.097537971     0.040921151   0.00015933232       20.386592
  0.00086480285      0.14010937      0.11345041   5.7033263e-19    -0.050351675     -0.14028009  -3.4006715e-21  -2.4539162e-18  -2.0901918e-18   1.3557195e-35       5.4037866    0.0074810464   -7.697103e-23     0.097534956     0.040913627   0.00015931714       20.382513
  0.00093380434      0.14024688       0.1133188   1.0057984e-18    -0.050483672     -0.14041778   8.5756003e-22  -1.8921455e-19  -2.2531002e-19  -9.4035015e-35       5.4037963    0.0074888688  -5.0331112e-24      0.09753191     0.040906028   0.00015930181       20.378393
   0.0010035254      0.14038559      0.11318569   1.1146774e-18    -0.050617165     -0.14055666   7.6718868e-21   1.8803555e-18   1.5305919e-18  -1.3086278e-35        5.403806    0.0074967635   6.1970732e-23     0.097528833     0.040898353   0.00015928633       20.374231
   0.0010739737      0.14052551      0.11305105   3.9366851e-19    -0.050752172     -0.14069675   1.6331865e-20   4.5084503e-18   3.6030414e-18   1.0547944e-34       5.4038159    0.0075047312   1.5179714e-22     0.097525725     0.040890602   0.00015927069       20.370028
   0.0011451566      0.14066663      0.11291487  -1.6984302e-18     -0.05088871     -0.14083805   4.1432856e-20   3.4345298e-18   2.6531386e-18  -1.7703259e-35       5.4038259    0.0075127723   1.1640904e-22     0.097522585     0.040882773   0.00015925489       20.365784
   0.0012170819      0.14080897      0.11277714  -2.0602072e-18    -0.051026798     -0.14098057   2.3676958e-20  -2.7312774e-18  -2.2487512e-18  -6.1735979e-35       5.4038361    0.0075208874  -9.5015679e-23     0.097519413     0.040874867   0.00015923894       20.361496
   0.0012897573      0.14095255      0.11263784   7.0302771e-20    -0.051166454     -0.14112431  -4.0256596e-20  -5.1635658e-18  -4.0464542e-18   1.9034546e-34       5.4038463    0.0075290771  -1.8103806e-22     0.097516209     0.040866881   0.00015922283       20.357166
