#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0053168625     -0.77752835     0.014438316  -9.5495933e-22       152.46521      0.77718963   2.4995523e-20  -6.3182187e-16  -3.6194398e-18   2.3619715e-38       4.6580792    0.0027230305   3.8365883e-24     0.079422782      0.19540069   0.00034837293       42.093307
   0.0056646009     -0.80769474     0.014445162  -8.5707364e-22       142.20601      0.80722491  -5.3816451e-20  -3.6420139e-16  -1.1317252e-18  -5.0818464e-37       4.7090651    0.0029986458  -3.2082923e-24      0.07608132       0.1899553    0.0003650672       39.494067
   0.0060337521     -0.84521487     0.014150051   2.7413908e-22       133.44251      0.84459297  -4.1141242e-20   2.0846115e-15    1.398459e-17  -5.5911816e-37       4.7597058    0.0033036603  -3.8029347e-23     0.073374711      0.18404652   0.00037866654       37.017633
   0.0064256347     -0.89122076     0.013485987   1.7737195e-21       126.08432      0.89042751   6.4399628e-20   1.9933077e-15   1.2973164e-17   3.3796786e-37       4.8103401    0.0036438088  -2.8936422e-23     0.071408293      0.17763877   0.00038812437       34.650588
   0.0068416484     -0.94631008       0.0123837   3.6498075e-22       119.96848       0.9453421   7.9171318e-20  -5.7405186e-16  -5.7663527e-18  -4.7218969e-37       4.8613307    0.0040259877   1.9000047e-23     0.070206137      0.17068413   0.00039263531       32.378943
    0.007283279      -1.0103112     0.010776293  -2.1268736e-21       114.86265       1.0091899  -1.1085319e-20  -1.4798379e-15  -1.2316631e-17  -5.2625719e-37       4.9130302    0.0044581631   3.3851314e-23     0.069717602      0.16312441    0.0003917542       30.188311
   0.0077521041      -1.0818833    0.0086084123  -8.5421773e-22       110.46418       1.0806562  -5.6885582e-20  -2.1794668e-16  -1.3915012e-18    2.480436e-37       4.9657378    0.0049490677   3.0365509e-24     0.069833317      0.15489599   0.00038546165        28.06431
   0.0082497982       -1.157892    0.0058531096   5.5803415e-22        106.3946       1.1566374  -2.3903344e-20   5.5821412e-16   6.0322881e-18  -1.6885478e-37       5.0196416    0.0055075234   -1.901703e-23     0.070407685       0.1459381   0.00037416913       25.993275
    0.008778139      -1.2325767    0.0025398149   6.1278321e-22       102.19551       1.2314073   1.5135936e-20   4.8804111e-16   5.7815592e-18   7.2489185e-38       5.0747417    0.0061411439  -1.8462332e-23     0.071283705       0.1362054   0.00035866883       23.963308
   0.0093390136      -1.2967166   -0.0012058079   1.1448185e-22       97.339287       1.2957847   2.9227448e-20  -1.0794611e-17  -5.5094654e-19  -7.0417378e-38       5.1307556    0.0068541322  -8.3386072e-25     0.072315272      0.12568498   0.00034003982        21.96573
   0.0099344254      -1.3373419   -0.0051177164    1.928418e-22       91.276022       1.3368473   9.0394737e-21  -4.4994554e-16  -6.6974659e-18  -1.9972894e-37       5.1870151    0.0076440307   1.5203405e-23      0.07338285      0.11441712   0.00031951757       19.996893
    0.010566501      -1.3388869   -0.0087642562   9.7561251e-22       83.537387       1.3390675  -8.4188438e-21  -2.8607738e-16  -4.2055949e-18   9.1284569e-38        5.242389     0.008497762   7.3567152e-24     0.074400559      0.10251629    0.0002983297       18.060152
    0.011237498        -1.28659    -0.011578353   2.6095214e-21       73.894282       1.2876081  -4.6439499e-21   7.4491849e-17   1.5860359e-18   2.1366974e-37       5.2952907    0.0093881853   4.7893509e-24     0.075315308     0.090186532   0.00027751041       16.167574
    0.011949813       -1.171731    -0.012971843   6.8010595e-22       62.517853       1.1736707  -2.6376401e-20   1.5172773e-16   2.6980453e-18  -3.4469796e-37       5.3438299     0.010273258   9.8907622e-25     0.076100667     0.077723093   0.00025772275       14.340753
    0.012705991      -0.9973696    -0.012539159  -2.4920237e-21       50.059295       1.0002943  -7.3660817e-20   2.3431599e-17   3.0661795e-19   1.8401577e-37       5.3861335     0.011100162  -3.9930594e-23     0.076748971     0.065495335   0.00023910042        12.61021
    0.013508733     -0.78112858    -0.010261248   4.9304228e-21       37.549287      0.78469219  -3.6965809e-20  -1.5127987e-16  -3.2410672e-18   4.2156882e-37       5.4207784     0.011815428  -1.1565748e-22      0.07726436     0.053913202   0.00022120259       11.013276
