#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
    0.010564743               0            0.05      -4.8385542   -0.0018409235               0       11301.894       5.2866628               0               0               0               0               0               0               0   8.7071031e-16   4.0130534e-11        11601891
    0.010734905               0            0.05      -4.7176047   -0.0017667709               0       11222.008       5.1546439               0               0               0               0               0               0               0   8.6513091e-16   3.9702368e-11        11601891
    0.010906842               0            0.05      -4.6003432   -0.0016959554               0       11143.302       5.0265871               0               0               0               0               0               0               0   8.5979107e-16   3.9282055e-11        11601891
    0.011080571               0            0.05      -4.4865751   -0.0016290519               0       11065.748       4.9023687               0               0               0               0               0               0               0   8.5467185e-16   3.8869381e-11        11601891
    0.011256113               0            0.05      -4.3761104   -0.0015666397               0       10989.318       4.7817389               0               0               0               0               0               0               0   8.4978403e-16   3.8464151e-11        11601891
    0.011433485               0            0.05      -4.2687111   -0.0015088257               0        10913.99       4.6645325               0               0               0               0               0               0               0   8.4510165e-16    3.806617e-11        11601891
    0.011612707               0            0.05      -4.1641725   -0.0014564129               0       10839.742       4.5504051               0               0               0               0               0               0               0    8.406507e-16   3.7675278e-11        11601891
    0.011793798               0            0.05      -4.0623541   -0.0014063885               0       10766.555       4.4391871               0               0               0               0               0               0               0   8.3638854e-16   3.7291321e-11        11601891
    0.011976778               0            0.05       -3.963199   -0.0013540207               0       10694.412        4.330858               0               0               0               0               0               0               0   8.3236767e-16   3.6914161e-11        11601891
    0.012161666               0            0.05      -3.8668147   -0.0013008487               0       10623.293       4.2256194               0               0               0               0               0               0               0   8.2851246e-16   3.6543632e-11        11601891
    0.012348482               0            0.05      -3.7731429   -0.0012513688               0       10553.176       4.1233287               0               0               0               0               0               0               0   8.2490521e-16   3.6179574e-11        11601891
    0.012537247               0            0.05      -3.6820996   -0.0012032383               0        10484.04       4.0238954               0               0               0               0               0               0               0   8.2147003e-16   3.5821829e-11        11601891
     0.01272798               0            0.05      -3.5936809   -0.0011566177               0       10415.867       3.9272841               0               0               0               0               0               0               0   8.1821555e-16   3.5470248e-11        11601891
    0.012920702               0            0.05       -3.507677   -0.0011137239               0       10348.632       3.8333847               0               0               0               0               0               0               0   8.1516245e-16   3.5124667e-11        11601891
    0.013115435               0            0.05       -3.423959     -0.00107379               0       10282.322       3.7419435               0               0               0               0               0               0               0   8.1232202e-16   3.4784963e-11        11601891
    0.013312198               0            0.05      -3.3424055    -0.001036635               0       10216.915       3.6528859               0               0               0               0               0               0               0   8.0966273e-16   3.4450994e-11        11601891
    0.013511013               0            0.05       -3.262821    -0.001002177               0       10152.402       3.5659691               0               0               0               0               0               0               0   8.0721288e-16   3.4122662e-11        11601891
    0.013711901               0            0.05      -3.1850687  -0.00097036416               0       10088.766       3.4811068               0               0               0               0               0               0               0   8.0491372e-16   3.3799848e-11        11601891
    0.013914885               0            0.05       -3.109283  -0.00093582894               0       10026.001       3.3982404               0               0               0               0               0               0               0   8.0285746e-16   3.3482476e-11        11601891
    0.014119985               0            0.05      -3.0355238  -0.00090416869               0       9964.0849       3.3176971               0               0               0               0               0               0               0   8.0090186e-16   3.3170402e-11        11601891
    0.014327225               0            0.05       -2.963126  -0.00088437361               0       9903.0072       3.2386096               0               0               0               0               0               0               0   7.9918421e-16   3.2863531e-11        11601891
    0.014536626               0            0.05      -2.8921226  -0.00085358994               0       9842.7703       3.1609307               0               0               0               0               0               0               0   7.9764662e-16    3.256185e-11        11601891
     0.01474821               0            0.05      -2.8233627  -0.00081296426               0       9783.3584       3.0858656               0               0               0               0               0               0               0   7.9619687e-16   3.2265248e-11        11601891
    0.014962002               0            0.05      -2.7569971  -0.00077567825               0       9724.7426       3.0133391               0               0               0               0               0               0               0   7.9479343e-16   3.1973535e-11        11601891
    0.015178023               0            0.05      -2.6926981  -0.00074355309               0       9666.9011       2.9431536               0               0               0               0               0               0               0   7.9342788e-16   3.1686563e-11        11601891
    0.015396296               0            0.05      -2.6302128   -0.0007164958               0       9609.8143        2.874865               0               0               0               0               0               0               0   7.9211472e-16   3.1404202e-11        11601891
    0.015616846               0            0.05      -2.5692363  -0.00069298382               0        9553.469        2.808302               0               0               0               0               0               0               0   7.9086331e-16   3.1126351e-11        11601891
    0.015839697               0            0.05       -2.509589  -0.00067228565               0       9497.8565       2.7431044               0               0               0               0               0               0               0   7.8969624e-16   3.0852941e-11        11601891
    0.016064871               0            0.05       -2.451224  -0.00065101751               0       9442.9696         2.67935               0               0               0               0               0               0               0   7.8861432e-16   3.0583904e-11        11601891
    0.016292394               0            0.05      -2.3942048  -0.00062869438               0       9388.8008       2.6170033               0               0               0               0               0               0               0   7.8765007e-16   3.0319178e-11        11601891
    0.016522289               0            0.05      -2.3385474  -0.00060670814               0       9335.3396       2.5562273               0               0               0               0               0               0               0   7.8677224e-16   3.0058677e-11        11601891
    0.016754582               0            0.05       -2.284227  -0.00058614299               0       9282.5764       2.4968425               0               0               0               0               0               0               0   7.8602736e-16   2.9802329e-11        11601891
    0.016989298               0            0.05      -2.2312007  -0.00056623744               0       9230.5004       2.4389359               0               0               0               0               0               0               0   7.8540583e-16   2.9550054e-11        11601891
    0.017226461               0            0.05      -2.1794199   -0.0005472589               0       9179.1032       2.3823274               0               0               0               0               0               0               0   7.8492434e-16   2.9301783e-11        11601891
    0.017466098               0            0.05      -2.1288566  -0.00052931605               0       9128.3748       2.3271129               0               0               0               0               0               0               0   7.8459366e-16   2.9057441e-11        11601891
    0.017708234               0            0.05      -2.0794622  -0.00051247974               0       9078.3071       2.2730883               0               0               0               0               0               0               0   7.8436934e-16   2.8816964e-11        11601891
    0.017952896               0            0.05      -2.0311497  -0.00049624996               0       9028.8905       2.2203188               0               0               0               0               0               0               0    7.842923e-16   2.8580284e-11        11601891
    0.018200108               0            0.05      -1.9838003  -0.00048191064               0       8980.1205       2.1685918               0               0               0               0               0               0               0   7.8433216e-16   2.8347352e-11        11601891
    0.018449899               0            0.05      -1.9373614   -0.0004683729               0       8931.9922       2.1178678               0               0               0               0               0               0               0   7.8450879e-16   2.8118124e-11        11601891
    0.018702296               0            0.05      -1.8919017  -0.00045348974               0       8884.5024       2.0681372               0               0               0               0               0               0               0   7.8485827e-16   2.7892561e-11        11601891
    0.018957324               0            0.05      -1.8474844  -0.00043756141               0       8837.6427       2.0196025               0               0               0               0               0               0               0     7.85352e-16   2.7670601e-11        11601891
    0.019215012               0            0.05      -1.8041103  -0.00042247558               0       8791.4062       1.9721989               0               0               0               0               0               0               0   7.8599998e-16   2.7452186e-11        11601891
    0.019475387               0            0.05      -1.7617654  -0.00040838447               0       8745.7836       1.9259393               0               0               0               0               0               0               0   7.8679695e-16    2.723725e-11        11601891
    0.019738478               0            0.05      -1.7204124  -0.00039470139               0       8700.7675       1.8807178               0               0               0               0               0               0               0   7.8775067e-16   2.7025734e-11        11601891
    0.020004313               0            0.05      -1.6800119  -0.00038131751               0       8656.3492       1.8365823               0               0               0               0               0               0               0   7.8885717e-16   2.6817579e-11        11601891
     0.02027292               0            0.05      -1.6405378  -0.00036887617               0       8612.5222       1.7934517               0               0               0               0               0               0               0   7.9012206e-16   2.6612732e-11        11601891
    0.020544328               0            0.05      -1.6019455  -0.00035681586               0       8569.2789       1.7512746               0               0               0               0               0               0               0   7.9154394e-16   2.6411136e-11        11601891
    0.020818567               0            0.05      -1.5641619  -0.00034702101               0       8526.6137       1.7100399               0               0               0               0               0               0               0   7.9312727e-16   2.6212747e-11        11601891
    0.021095666               0            0.05      -1.5270922  -0.00033748513               0       8484.5213       1.6694778               0               0               0               0               0               0               0   7.9487133e-16   2.6017522e-11        11601891
    0.021375655               0            0.05      -1.4906989  -0.00032759718               0       8443.0011       1.6297366               0               0               0               0               0               0               0   7.9678261e-16    2.582544e-11        11601891
    0.021658563               0            0.05      -1.4550785  -0.00031682701               0       8402.0494       1.5907511               0               0               0               0               0               0               0   7.9885906e-16   2.5636464e-11        11601891
    0.021944423               0            0.05      -1.4202591  -0.00030614691               0       8361.6593       1.5527428               0               0               0               0               0               0               0   8.0110633e-16   2.5450545e-11        11601891
    0.022233263               0            0.05      -1.3862393  -0.00029596366               0       8321.8252       1.5155154               0               0               0               0               0               0               0   8.0352285e-16   2.5267638e-11        11601891
    0.022525116               0            0.05       -1.352994  -0.00028614247               0       8282.5401       1.4792201               0               0               0               0               0               0               0   8.0611323e-16    2.508769e-11        11601891
    0.022820012               0            0.05      -1.3204929  -0.00027686951               0       8243.7981       1.4436607               0               0               0               0               0               0               0   8.0887649e-16    2.491066e-11        11601891
