#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
    0.011256113               0            0.05      -4.6573161   -0.0010821142   2.3680601e-21       10314.761       1.8218478   1.1621407e-17   3.6866999e-19   8.5659428e-23  -1.8745404e-40               0               0               0             0.1             0.1               0        11601891
    0.011433485               0            0.05      -4.5488701   -0.0010409753   1.3167019e-19       10234.506       1.7795207   4.6696537e-18   2.9293397e-14    5.093398e-18   1.3354874e-35               0               0               0             0.1             0.1               0        11601891
    0.011612707               0            0.05      -4.4435147   -0.0010015126  -2.5179431e-19       10155.296       1.7385023  -4.6858465e-18  -2.9369281e-14  -5.0277675e-18   1.3561384e-35               0               0               0             0.1             0.1               0        11601891
    0.011793798               0            0.05       -4.341136  -0.00096369221  -7.7630082e-19       10077.109       1.6985012  -2.3643526e-17   8.8342145e-14   1.4890125e-17  -2.0721273e-34               0               0               0             0.1             0.1               0        11601891
    0.011976778               0            0.05      -4.2416315  -0.00092708358   5.0630832e-19       9999.9225       1.6597331  -2.9033041e-17   1.4763201e-13   2.4503148e-17  -4.2858683e-34               0               0               0             0.1             0.1               0        11601891
    0.012161666               0            0.05      -4.1449152  -0.00089223722   6.3904595e-19       9923.7136       1.6219358   2.8163395e-18  -2.9607352e-14  -4.8390545e-18  -8.3529047e-36               0               0               0             0.1             0.1               0        11601891
    0.012348482               0            0.05      -4.0508846  -0.00085864453   1.1344316e-19       9848.4608       1.5852802  -3.6030803e-18   -1.474975e-19  -3.1264262e-23   4.1305994e-39               0               0               0             0.1             0.1               0        11601891
    0.012537247               0            0.05      -3.9594281  -0.00082685167   3.3912995e-21        9774.144       1.5495402   1.9559556e-18  -5.9544702e-14  -9.4399116e-18  -1.1915491e-35               0               0               0             0.1             0.1               0        11601891
     0.01272798               0            0.05      -3.8704287    -0.000796284  -3.5366206e-19       9700.7433       1.5148407   1.5572039e-21   1.4098886e-19   2.9006393e-23   1.2882917e-38               0               0               0             0.1             0.1               0        11601891
    0.012920702               0            0.05      -3.7837819  -0.00076693917    1.090314e-19       9628.2407        1.480999  -6.1786399e-18   2.9942689e-14   4.6057315e-18  -1.9214919e-35               0               0               0             0.1             0.1               0        11601891
    0.013115435               0            0.05      -3.6994282  -0.00073853244  -2.1052479e-19       9556.6184       1.4481402   6.0921842e-18  -3.0029768e-14  -4.5504857e-18  -1.9136203e-35               0               0               0             0.1             0.1               0        11601891
    0.013312198               0            0.05       -3.617317  -0.00071136551  -1.0869326e-20       9485.8589       1.4161017  -1.4671335e-17   9.0355239e-14   1.3488733e-17  -1.3974821e-34               0               0               0             0.1             0.1               0        11601891
    0.013511013               0            0.05      -3.5373989  -0.00068570699   3.2886314e-19       9415.9445       1.3849824   9.3129858e-18  -3.0208222e-14  -4.4432991e-18  -2.9877422e-35               0               0               0             0.1             0.1               0        11601891
    0.013711901               0            0.05       -3.459617  -0.00066094264   2.0053816e-19        9346.858       1.3545897  -3.3531797e-18   5.0174759e-21   9.5856384e-25  -2.9084011e-40               0               0               0             0.1             0.1               0        11601891
    0.013914885               0            0.05      -3.3838965  -0.00063658469   1.0549643e-19       9278.5821       1.3250771   7.6087413e-18   -9.117521e-14   -1.302077e-17  -7.4759092e-35               0               0               0             0.1             0.1               0        11601891
    0.014119985               0            0.05      -3.3101627  -0.00061309056  -3.0562645e-19       9211.1007       1.2962927   9.0264846e-18  -3.0485162e-14  -4.2902199e-18  -2.9863911e-35               0               0               0             0.1             0.1               0        11601891
    0.014327225               0            0.05      -3.2383469  -0.00059138177  -9.7941029e-20       9144.3979         1.26835  -3.2417817e-18   1.1084455e-19   2.0242256e-23   3.3523985e-39               0               0               0             0.1             0.1               0        11601891
    0.014536626               0            0.05      -3.1683891   -0.0005717357   9.4678418e-20       9078.4586       1.2410065  -6.3559804e-18  -2.1025295e-19  -3.7940138e-23   6.2828196e-39               0               0               0             0.1             0.1               0        11601891
     0.01474821               0            0.05      -3.1002275  -0.00055206219   9.0585198e-20       9013.2676       1.2143456   8.7454075e-18    -3.07737e-14  -4.1461044e-18  -2.9855952e-35               0               0               0             0.1             0.1               0        11601891
    0.014962002               0            0.05      -3.0337545  -0.00053167853  -4.8058126e-21       8948.8111       1.1883171    5.463598e-18   1.0065933e-19   1.7640981e-23   1.5945584e-40               0               0               0             0.1             0.1               0        11601891
    0.015178023               0            0.05      -2.9688982  -0.00051229964  -2.6483735e-19       8885.0768       1.1630742   2.3136229e-18  -3.0971771e-14  -4.0542586e-18  -8.0478849e-36               0               0               0             0.1             0.1               0        11601891
    0.015396296               0            0.05      -2.9056539  -0.00049677151  -4.3321318e-19        8822.052       1.1384011   -1.693238e-17   6.2146247e-14   8.0193884e-18  -1.1923632e-34               0               0               0             0.1             0.1               0        11601891
    0.015616846               0            0.05      -2.8440324  -0.00048048106   2.5523486e-19       8759.7234       1.1141677  -1.8307116e-17    1.247007e-13   1.5860938e-17  -2.6059887e-34               0               0               0             0.1             0.1               0        11601891
    0.015839697               0            0.05      -2.7839795  -0.00046215053   4.2523736e-19       8698.0771        1.090604   5.3028345e-18  -3.1278928e-14  -3.9219035e-18  -1.9028615e-35               0               0               0             0.1             0.1               0        11601891
